Supplier,BEA Commodity Row
CATL,"Electrical equipment, appliances, and components"
CATL,Chemical products
Panasonic,"Electrical equipment, appliances, and components"
Panasonic,Chemical products
LG Chem,"Electrical equipment, appliances, and components"
LG Chem,Chemical products
SK Innovation,"Electrical equipment, appliances, and components"
SK Innovation,Chemical products
ZF Friedrichshafen,"Motor vehicles, bodies and trailers, and parts"
ZF Friedrichshafen,Machinery
Bosch,Computer and electronic products
Bosch,"Motor vehicles, bodies and trailers, and parts"
Emerson,"Electrical equipment, appliances, and components"
Emerson,Machinery
NVIDIA,Computer and electronic products
Mobileye (Intel),Computer and electronic products
Tesla (In-House Technology),Computer and electronic products
Aston Martin,Primary metals
Aston Martin,Fabricated metal products
Gree Electric,"Electrical equipment, appliances, and components"
BYD,Fabricated metal products
BYD,Plastics and rubber products
Magna International,"Motor vehicles, bodies and trailers, and parts"
Hella,Computer and electronic products
Hella,"Electrical equipment, appliances, and components"
Johnson Controls,Furniture and related products
Johnson Controls,Plastics and rubber products
Valeo,"Electrical equipment, appliances, and components"
Valeo,Computer and electronic products
Renesas Electronics,Computer and electronic products
Michelin,Plastics and rubber products
Bridgestone,Plastics and rubber products
Honeywell,Computer and electronic products
Marelli,Computer and electronic products
Marelli,"Motor vehicles, bodies and trailers, and parts"
BHP (nickel),"Mining, except oil and gas"
BHP (nickel),Primary metals
Ganfeng Lithium,Chemical products
Ganfeng Lithium,"Mining, except oil and gas"
Glencore,"Mining, except oil and gas"
Glencore,Primary metals
Modine Manufacturing,Machinery
Modine Manufacturing,Fabricated metal products
Rohm and Haas,Chemical products
